1,Elliot Stein,1/27/21,2798 Lill,St. Louis,63718,Missouri,608 894 1251
2,Melina David,3/31/34,2618 Bessie Coleman,Jersey City,7381,New Jersey,334 392 8678
3,Amos Roberts,3/16/03,1808 Kennedy Kimball Av,Las Vegas,89504,Nevada,779 298 0796
4,Andy Whitehead,9/28/20,9930 84th,Knoxville,37694,Tennessee,479 798 4716
5,Juan Cannon,9/13/22,9168 Central,Peoria,61590,Illinois,336 304 6090
6,Augustus Garner,9/2/79,4250 Winona,Rockford,61182,Illinois,949 440 4677
7,Cory Palmer,8/29/72,6217 Marketplace Access,Chesapeake,23345,Virginia,909 110 4119
8,Quinton Cote,3/12/78,8468 Lavergne,Sacramento,95766,California,216 469 8942
9,Kendall Jensen,9/12/59,6297 Kennison,New York,10838,New York,513 781 5257
10,Quinton Fuentes,7/2/05,7331 Hill,Richmond,23230,Virginia,650 719 3440
11,Marvin Jarvis,10/8/57,7726 Hayford,Chattanooga,37017,Tennessee,608 629 7385
12,Bentlee Aguilar,10/31/08,2006 Broad,Shreveport,71193,Louisiana,210 862 4355
13,Cameron Vazquez,12/24/92,3455 Fargo,Montpelier,5659,Vermont,251 583 6656
14,Princeton Park,7/2/91,9542 Dan Ryan 31st St,Rockford,61101,Illinois,802 834 8209
15,Cedric Jefferson,6/7/97,6527 Jarvis,San Bernardino,92357,California,661 683 8029
16,Leighton Pickett,3/8/61,1706 Clinton,Plano,75091,Texas,312 231 3195
17,Kayden Melendez,11/27/36,7959 Kennedy Racine Av,Oxnard,93080,California,618 914 0133
18,Courtney Vincent,1/27/02,2234 Liberty,Laredo,78084,Texas,815 119 6286
19,Valentin York,1/13/55,8047 Greenwood,Mobile,36697,Alabama,972 840 4942
20,Wayne Patton,5/24/24,3151 Ridgeway,Augusta,30908,Georgia,717 903 7574
21,Ari Burch,12/21/48,6122 Houston,Baltimore,21820,Maryland,314 436 4782
22,Donovan Rose,12/31/91,4289 Louise,Charleston,29404,South Carolina,304 790 7577
23,Scott Deleon,10/31/39,4821 Edens Elston Av,Irving,75099,Texas,641 263 8931
24,Isai Rosa,12/19/94,6438 Kennedy Express,Kent,98032,Washington,919 276 9753
25,Nina Lopez,7/8/30,2465 Administration,El Paso,79137,Texas,334 280 9634
26,Camron Frost,9/29/39,1225 Landers,Baltimore,21411,Maryland,408 824 4725
27,Lincoln Gillespie,6/8/04,6703 Institute,Paterson,7560,New Jersey,870 307 4273
28,Jayleen Jimenez,3/28/61,4178 Clover,Tallahassee,32356,Florida,414 238 8097
29,Carmen Cain,7/6/12,9783 Superior,San Bernardino,92349,California,443 484 4630
30,William Saunders,11/24/12,4149 Lsd Illinois St,Hartford,6154,Connecticut,859 445 5704
31,Rafael Winters,11/18/81,3507 Minnetonka,Eugene,97410,Oregon,503 196 9050
32,Dorothy Rodriquez,7/20/32,6551 Iron,Orlando,32837,Florida,432 996 8948
